# z n(z)
0.410001 69314.000000
0.430001 73338.000000
0.450001 77251.000000
0.470001 81755.000000
0.490001 85566.000000
0.510001 94224.000000
0.530001 102926.000000
0.550001 108029.000000
0.570001 112072.000000
0.590001 116964.000000
0.610001 123519.000000
0.630001 125080.000000
0.650001 128944.000000
0.670001 134606.000000
0.690001 134776.000000
0.710001 138682.000000
0.730001 140506.000000
0.750001 149392.000000
0.770001 161293.000000
0.790001 167920.000000
0.810001 173605.000000
0.830001 171503.000000
0.850001 164133.000000
0.870001 156221.000000
0.890001 145309.000000
0.910001 131722.000000
0.930001 117841.000000
0.950001 101595.000000
0.970001 88708.000000
